age,ai_confidence,ai_prediction,ai_shown,big5_agreeableness,big5_conscientiousness,big5_extraversion,big5_neuroticism,big5_open_mindedness,big5_timestamp,confidence,created_at,current_phase,experience_level,facet_aesthetic_sensitivity,facet_anxiety,facet_assertiveness,facet_compassion,facet_creative_imagination,facet_depression,facet_emotional_volatility,facet_energy_level,facet_intellectual_curiosity,facet_organization,facet_productiveness,facet_respectfulness,facet_responsibility,facet_sociability,facet_trust,final_confidence,final_decision,gender,ground_truth_binary,ground_truth_raw,healthcare_qualification,initial_confidence,initial_decision,iq_completed_at,iq_score,iq_time_remaining,participant_id,phase1_completed_at,phase1_video_watched,phase2_completed_at,residence,reverted_decision,school,symptom1,symptom2,treatment_group,trial_duration,trial_end_time,trial_id,trial_image,trial_image_name,trial_original_image_name,trial_start_time,user_id
17,0.7641,0,True,3.17,3.67,2.92,2.83,3.67,1770285974132,7,2026-02-05T09:59:00.270000+00:00,phase2_completed,none,3.25,3.25,3,3.25,4,3.5,1.75,3.75,3.75,3.75,4.25,3.25,3,2,3,5,0,male,0,0,none,7,0,1770286535890,5,42,0-3L7D9,1770287124686,True,1772706612921,village,False,secondary,nincsen,nincsen,0,11.211,1772706496192,p2_trial_42,9667180L.png,35.png,9667180L.png,1772706484981,0-3L7D9
17,0.5424,1,True,3.17,3.67,2.92,2.83,3.67,1770285974132,5,2026-02-05T09:59:00.270000+00:00,phase2_completed,none,3.25,3.25,3,3.25,4,3.5,1.75,3.75,3.75,3.75,4.25,3.25,3,2,3,3,0,male,1,2,none,5,0,1770286535890,5,42,0-3L7D9,1770287124686,True,1772706612921,village,False,secondary,nincsen,nincsen,0,14.425,1772706511000,p2_trial_43,9648224L.png,44.png,9648224L.png,1772706496575,0-3L7D9
17,0.5639,0,True,3.17,3.67,2.92,2.83,3.67,1770285974132,3,2026-02-05T09:59:00.270000+00:00,phase2_completed,none,3.25,3.25,3,3.25,4,3.5,1.75,3.75,3.75,3.75,4.25,3.25,3,2,3,5,0,male,0,0,none,3,0,1770286535890,5,42,0-3L7D9,1770287124686,True,1772706612921,village,False,secondary,nincsen,nincsen,0,15.93,1772706527312,p2_trial_44,9100699L.png,48.png,9100699L.png,1772706511382,0-3L7D9
17,0.7533,0,True,3.17,3.67,2.92,2.83,3.67,1770285974132,4,2026-02-05T09:59:00.270000+00:00,phase2_completed,none,3.25,3.25,3,3.25,4,3.5,1.75,3.75,3.75,3.75,4.25,3.25,3,2,3,7,0,male,0,0,none,4,0,1770286535890,5,42,0-3L7D9,1770287124686,True,1772706612921,village,False,secondary,nincsen,nincsen,0,11.891,1772706539592,p2_trial_45,9166468R.png,18.png,9166468R.png,1772706527701,0-3L7D9
17,0.2577,1,True,3.17,3.67,2.92,2.83,3.67,1770285974132,4,2026-02-05T09:59:00.270000+00:00,phase2_completed,none,3.25,3.25,3,3.25,4,3.5,1.75,3.75,3.75,3.75,4.25,3.25,3,2,3,4,0,male,0,0,none,4,0,1770286535890,5,42,0-3L7D9,1770287124686,True,1772706612921,village,False,secondary,nincsen,nincsen,0,11.723,1772706551745,p2_trial_46,9827858L.png,8.png,9827858L.png,1772706540022,0-3L7D9
17,0.9867,1,True,3.17,3.67,2.92,2.83,3.67,1770285974132,6,2026-02-05T09:59:00.270000+00:00,phase2_completed,none,3.25,3.25,3,3.25,4,3.5,1.75,3.75,3.75,3.75,4.25,3.25,3,2,3,7,1,male,1,3,none,6,1,1770286535890,5,42,0-3L7D9,1770287124686,True,1772706612921,village,False,secondary,tunet,tunet,0,19.081,1772706571464,p2_trial_47,9267247L.png,38.png,9267247L.png,1772706552383,0-3L7D9
17,0.0426,1,True,3.17,3.67,2.92,2.83,3.67,1770285974132,3,2026-02-05T09:59:00.270000+00:00,phase2_completed,none,3.25,3.25,3,3.25,4,3.5,1.75,3.75,3.75,3.75,4.25,3.25,3,2,3,4,1,male,0,0,none,3,1,1770286535890,5,42,0-3L7D9,1770287124686,True,1772706612921,village,False,secondary,nincsen,tunet,0,13.71,1772706585552,p2_trial_48,9360243L.png,50.png,9360243L.png,1772706571842,0-3L7D9
17,0.0923,0,True,3.17,3.67,2.92,2.83,3.67,1770285974132,4,2026-02-05T09:59:00.270000+00:00,phase2_completed,none,3.25,3.25,3,3.25,4,3.5,1.75,3.75,3.75,3.75,4.25,3.25,3,2,3,4,0,male,1,3,none,4,0,1770286535890,5,42,0-3L7D9,1770287124686,True,1772706612921,village,False,secondary,nincsen,nincsen,0,11.721,1772706597920,p2_trial_49,9305336L.png,12.png,9305336L.png,1772706586199,0-3L7D9
17,0.6514,1,True,3.17,3.67,2.92,2.83,3.67,1770285974132,4,2026-02-05T09:59:00.270000+00:00,phase2_completed,none,3.25,3.25,3,3.25,4,3.5,1.75,3.75,3.75,3.75,4.25,3.25,3,2,3,3,0,male,1,2,none,4,0,1770286535890,5,42,0-3L7D9,1770287124686,True,1772706612921,village,False,secondary,nincsen,nincsen,0,70.215,1772705248648,p2_trial_5,9448315L.png,28.png,9448315L.png,1772705178433,0-3L7D9
17,0.8842,1,True,3.17,3.67,2.92,2.83,3.67,1770285974132,7,2026-02-05T09:59:00.270000+00:00,phase2_completed,none,3.25,3.25,3,3.25,4,3.5,1.75,3.75,3.75,3.75,4.25,3.25,3,2,3,6,1,male,1,2,none,7,0,1770286535890,5,42,0-3L7D9,1770287124686,True,1772706612921,village,True,secondary,nincsen,nincsen,0,14.189,1772706612745,p2_trial_50,9304828L.png,46.png,9304828L.png,1772706598556,0-3L7D9
17,0.6423,0,True,3.17,3.67,2.92,2.83,3.67,1770285974132,4,2026-02-05T09:59:00.270000+00:00,phase2_completed,none,3.25,3.25,3,3.25,4,3.5,1.75,3.75,3.75,3.75,4.25,3.25,3,2,3,5,0,male,0,0,none,4,0,1770286535890,5,42,0-3L7D9,1770287124686,True,1772706612921,village,False,secondary,bizonytalan,nincsen,0,40.591,1772705289968,p2_trial_6,9143031L.png,4.png,9143031L.png,1772705249377,0-3L7D9
17,0.4903,1,True,3.17,3.67,2.92,2.83,3.67,1770285974132,6,2026-02-05T09:59:00.270000+00:00,phase2_completed,none,3.25,3.25,3,3.25,4,3.5,1.75,3.75,3.75,3.75,4.25,3.25,3,2,3,5,1,male,1,4,none,6,1,1770286535890,5,42,0-3L7D9,1770287124686,True,1772706612921,village,False,secondary,tunet,tunet,0,31.347,1772705321920,p2_trial_7,9311154L.png,39.png,9311154L.png,1772705290573,0-3L7D9
17,0.2252,0,True,3.17,3.67,2.92,2.83,3.67,1770285974132,4,2026-02-05T09:59:00.270000+00:00,phase2_completed,none,3.25,3.25,3,3.25,4,3.5,1.75,3.75,3.75,3.75,4.25,3.25,3,2,3,5,0,male,0,0,none,4,0,1770286535890,5,42,0-3L7D9,1770287124686,True,1772706612921,village,False,secondary,nincsen,bizonytalan,0,42.793,1772705365224,p2_trial_8,9097360L.png,1.png,9097360L.png,1772705322431,0-3L7D9
17,0.79,1,True,3.17,3.67,2.92,2.83,3.67,1770285974132,4,2026-02-05T09:59:00.270000+00:00,phase2_completed,none,3.25,3.25,3,3.25,4,3.5,1.75,3.75,3.75,3.75,4.25,3.25,3,2,3,2,1,male,1,2,none,4,0,1770286535890,5,42,0-3L7D9,1770287124686,True,1772706612921,village,True,secondary,nincsen,bizonytalan,0,151.039,1772705516616,p2_trial_9,9142551R.png,37.png,9142551R.png,1772705365577,0-3L7D9
17,0.3771,0,False,3.17,3.67,2.92,2.83,3.67,1770285974132,5,2026-02-05T09:59:00.270000+00:00,phase2_completed,none,3.25,3.25,3,3.25,4,3.5,1.75,3.75,3.75,3.75,4.25,3.25,3,2,3,,,male,0,0,none,,0,1770286535890,5,42,0-3L7D9,1770287124686,True,1772706612921,village,,secondary,,,0,25.236,1770286698917,trial_1,9872350R.png,30.png,9872350R.png,1770286673681,0-3L7D9
17,0.7641,0,False,3.17,3.67,2.92,2.83,3.67,1770285974132,7,2026-02-05T09:59:00.270000+00:00,phase2_completed,none,3.25,3.25,3,3.25,4,3.5,1.75,3.75,3.75,3.75,4.25,3.25,3,2,3,,,male,0,0,none,,0,1770286535890,5,42,0-3L7D9,1770287124686,True,1772706612921,village,,secondary,,,0,4.064,1770286787978,trial_10,9667180L.png,35.png,9667180L.png,1770286783914,0-3L7D9
